104.16.148.5 #电信-LAX
104.16.252.148 #联通-LAX
104.16.252.159 #联通-LAX
104.16.252.238 #联通-LAX
104.16.40.140 #联通-LAX
104.18.34.186 #电信-SIN
104.20.17.15 #电信-FRA
104.21.83.149 #移动-HKG
104.25.246.127 #移动-HKG
104.25.246.46 #移动-HKG
104.25.247.142 #移动-HKG
104.25.251.106 #移动-HKG
104.25.252.223 #电信-FRA
104.25.252.23 #电信-FRA
104.27.83.21 #联通-LAX
